ts,phase,index,temp_c,fan_pct,power_w,power_limit_w,mem_used_mib,mem_total_mib,util_pct
1777906602.795,pflash_load,1,51,0,22.50,230.00,1,24576,0
1777906603.845,pflash_load,0,45,0,28.27,230.00,1,24576,0
1777906603.845,pflash_load,1,51,0,22.42,230.00,1,24576,0
1777906604.893,pflash_load,0,45,0,28.04,230.00,1,24576,0
1777906604.893,pflash_load,1,51,0,22.60,230.00,1,24576,0
1777906605.940,pflash_load,0,45,0,28.06,230.00,1,24576,0
1777906605.940,pflash_load,1,51,0,22.83,230.00,1,24576,0
1777906606.989,pflash_load,0,45,0,28.08,230.00,1,24576,0
1777906606.989,pflash_load,1,51,0,22.83,230.00,1,24576,0
1777906608.038,pflash_load,0,45,0,28.27,230.00,1,24576,0
1777906608.038,pflash_load,1,51,0,22.70,230.00,1,24576,0
1777906609.086,pflash_load,0,45,0,28.03,230.00,1,24576,0
1777906609.086,pflash_load,1,51,0,22.66,230.00,1,24576,0
1777906610.136,pflash_load,0,45,0,27.99,230.00,1,24576,0
1777906610.136,pflash_load,1,51,0,22.78,230.00,1,24576,0
1777906611.185,pflash_load,0,45,0,28.31,230.00,1,24576,0
1777906611.185,pflash_load,1,51,0,22.81,230.00,1,24576,0
1777906612.234,pflash_load,0,45,0,28.25,230.00,1,24576,0
1777906612.234,pflash_load,1,51,0,22.60,230.00,1,24576,0
1777906613.284,pflash_load,0,45,0,28.25,230.00,1,24576,0
1777906613.284,pflash_load,1,51,0,22.57,230.00,1,24576,0
1777906614.332,pflash_load,0,45,0,28.37,230.00,1,24576,0
1777906614.332,pflash_load,1,51,0,22.59,230.00,1,24576,0
1777906615.383,pflash_load,0,45,0,28.17,230.00,1,24576,0
1777906615.383,pflash_load,1,51,0,22.78,230.00,1,24576,0
1777906616.432,pflash_load,0,45,0,28.17,230.00,1,24576,0
1777906616.432,pflash_load,1,51,0,22.84,230.00,1,24576,0
1777906617.485,pflash_load,0,45,0,28.29,230.00,1,24576,0
1777906617.485,pflash_load,1,51,0,22.82,230.00,1,24576,0
1777906618.544,pflash_load,0,45,0,28.08,230.00,1,24576,0
1777906618.544,pflash_load,1,51,0,22.84,230.00,1,24576,0
1777906619.594,pflash_load,0,45,0,28.10,230.00,1,24576,0
1777906619.594,pflash_load,1,51,0,22.64,230.00,1,24576,0
1777906620.644,pflash_load,0,45,0,28.29,230.00,1,24576,0
1777906620.644,pflash_load,1,51,0,22.60,230.00,1,24576,0
1777906621.692,pflash_load,0,45,0,28.11,230.00,1,24576,0
1777906621.692,pflash_load,1,51,0,22.68,230.00,1,24576,0
1777906622.741,pflash_load,0,45,0,28.04,230.00,1,24576,0
1777906622.741,pflash_load,1,51,0,22.53,230.00,1,24576,0
1777906623.789,pflash_load,0,45,0,28.18,230.00,1,24576,0
1777906623.789,pflash_load,1,51,0,22.50,230.00,1,24576,0
1777906624.837,pflash_load,0,45,0,28.07,230.00,1,24576,0
1777906624.837,pflash_load,1,51,0,22.60,230.00,1,24576,0
1777906625.886,pflash_load,0,45,0,28.17,230.00,1,24576,0
1777906625.886,pflash_load,1,51,0,22.63,230.00,1,24576,0
1777906626.935,pflash_load,0,45,0,28.36,230.00,1,24576,0
1777906626.935,pflash_load,1,51,0,22.84,230.00,1,24576,0
1777906627.982,pflash_load,0,45,0,28.24,230.00,1,24576,0
1777906627.982,pflash_load,1,51,0,22.97,230.00,1,24576,0
1777906629.030,pflash_load,0,46,0,28.31,230.00,1,24576,0
1777906629.030,pflash_load,1,51,0,22.74,230.00,1,24576,0
1777906630.080,pflash_load,0,46,0,28.18,230.00,1,24576,0
1777906630.080,pflash_load,1,51,0,22.61,230.00,1,24576,0
1777906631.129,pflash_load,0,46,0,28.22,230.00,1,24576,0
1777906631.129,pflash_load,1,51,0,22.70,230.00,1,24576,0
1777906632.178,pflash_load,0,46,0,28.39,230.00,1,24576,0
